"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,860","3","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","3","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","3","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","80","61.6","202101","26","25,737","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","3","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,975","3","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","82.49","63.52","202101","26","26,538","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","20,829","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,180","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,860","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,860","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,379","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","20,699","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,975","4","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","82.49","63.52","202101","26","26,418","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","80","61.6","202101","26","25,617","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,115","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,795","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,795","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,284","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,284","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","10,965","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","64.74","49.85","202101","26","22,284","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,925","5","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,445","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,445","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,445","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","11,445","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","10,965","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","33.09","25.48","202101","26","10,965","2","2021","송도로212번길 15",""
"광주광역시 광산구 도산동","877-15","0877","0015","(877-15)","32.13","24.73","202101","26","10,650","2","2021","송도로212번길 15",""
